,Crime_ID,Date,Crime_Type,Victim_ID,Suspect_ID,Status,Lead_Officer_ID,Region,City,Case_ID
55,CR55,10/10/2014,labor racketeering,P00527519,Ndr0000328,Solved,CLA601722711,Calabria,Lamezia Terme,N/A
56,CR56,21/02/2018,loan sharking,P00976228,Sac0001405,Solved,PGA324300809,Puglia,Lecce,N/A
57,CR57,01/01/2017,corruption of public officials,P00318813,Cos0001231,On-going,SCY649877627,Sicily,Palermo,N/A
58,CR58,19/11/2003,infiltration of legitimate businesses,P00544746,Sac0001543,Solved,PGA121489066,Puglia,Bari,N/A
59,CR59,11/09/2007,murder,P00588345,Cam0000232,On-going,CPA317299790,Campania,Salerno,N/A
60,CR60,20/08/2016,corruption of public officials,P00507380,Ndr0003236,Solved,CLA877670145,Calabria,Crotone,CA229
61,CR61,04/04/2017,loan sharking,P00916448,Cam0002003,Solved,CPA413263002,Campania,Salerno,N/A
62,CR62,23/08/2015,infiltration of legitimate businesses,P00074698,Sac0001161,Solved,PGA690792054,Puglia,Foggia,N/A
63,CR63,15/12/2000,gambling,P00776504,Cos0003537,On-going,SCY26131444,Sicily,Syracuse,N/A
64,CR64,01/07/2016,gambling,P00883652,Cos0002182,On-going,SCY733397233,Sicily,Catania,N/A
65,CR65,08/02/2016,gambling,P00329650,Sac0000913,Solved,PGA411035906,Puglia,Bari,CA453
66,CR66,13/07/2008,prostitution,P00728846,Cam0002764,Solved,CPA577363193,Campania,Benevento,N/A
67,CR67,25/03/2022,labor racketeering,P00430208,Cos0001638,Solved,SCY431931927,Sicily,Caltanissetta,CA246
68,CR68,26/08/2013,corruption of public officials,P00762819,Cam0005344,Solved,CPA127269895,Campania,Benevento,N/A
69,CR69,15/06/2013,extortion,P00556028,Cos0000510,On-going,SCY37520951,Sicily,Catania,CA64
70,CR70,19/05/2017,infiltration of legitimate businesses,P00443157,Ndr0001985,On-going,CLA544480252,Calabria,Lamezia Terme,N/A
71,CR71,26/05/2012,loan sharking,P00187444,Ndr0005061,Solved,CLA38906628,Calabria,Vibo Valentia,N/A
72,CR72,27/06/2006,extortion,P00417797,Cos0002372,Solved,SCY35841543,Sicily,Ragusa,N/A
73,CR73,12/10/2005,drug trafficking,P00250451,Ndr0004843,Solved,CLA891594291,Calabria,Cosenza,CA280
74,CR74,19/04/2021,tax-fraud schemes,P00566317,Cos0002842,On-going,SCY663163501,Sicily,Gela,CA94
75,CR75,02/03/2020,drug trafficking,P00882701,Cos0002188,Solved,SCY179384259,Sicily,Marsala,CA783
76,CR76,24/07/2015,drug trafficking,P00305221,Cos0000964,Solved,SCY7187619,Sicily,Caltanissetta,CA597
77,CR77,02/06/2005,prostitution,P00342587,Sac0001155,On-going,PGA404313592,Puglia,Foggia,CA1949
78,CR78,14/05/2013,loan sharking,P00309298,Cam0003198,Solved,CPA639447366,Campania,Avellino,N/A
79,CR79,17/05/2018,corruption of public officials,P00246930,Ndr0004420,Solved,CLA594131520,Calabria,Montalto Uffugo,N/A
80,CR80,14/03/2021,extortion,P00636084,Cam0000393,On-going,CPA389055728,Campania,Benevento,N/A
81,CR81,20/03/2020,murder,P00629688,Sac0000125,On-going,PGA112821100,Puglia,Taranto,N/A
82,CR82,12/03/2008,murder,P00640918,Cos0003833,On-going,SCY272199758,Sicily,Palermo,N/A
83,CR83,15/01/2021,drug trafficking,P00753801,Ndr0004398,On-going,CLA722531797,Calabria,Acri,N/A
84,CR84,16/09/2012,infiltration of legitimate businesses,P00189623,Cam0003199,On-going,CPA594147439,Campania,Benevento,N/A
85,CR85,24/08/2007,infiltration of legitimate businesses,P00594560,Cos0001675,Solved,SCY636976239,Sicily,Marsala,CA1977
86,CR86,05/05/2002,infiltration of legitimate businesses,P00565822,Cos0000795,Solved,SCY846908557,Sicily,Syracuse,CA413
87,CR87,29/07/2020,murder,P00912446,Cos0002117,On-going,SCY533079595,Sicily,Catania,CA1218
88,CR88,06/05/2014,labor racketeering,P00235772,Cam0003545,On-going,CPA138244446,Campania,Salerno,N/A
89,CR89,18/01/2004,corruption of public officials,P00358088,Cos0003244,On-going,SCY874446379,Sicily,Palermo,N/A
90,CR90,12/03/2018,infiltration of legitimate businesses,P00439399,Sac0001565,On-going,PGA640459670,Puglia,Andria,CA910
91,CR91,13/07/2015,labor racketeering,P00390607,Cam0002657,On-going,CPA599715298,Campania,Caserta,CA491
92,CR92,20/02/2014,murder,P00781299,Cam0004015,On-going,CPA842275823,Campania,Benevento,N/A
93,CR93,30/08/2001,drug trafficking,P00761265,Ndr0002216,On-going,CLA235919909,Calabria,Corigliano-Rossano,N/A
94,CR94,02/09/2009,tax-fraud schemes,P00090725,Ndr0003175,Solved,CLA145815697,Calabria,Vibo Valentia,N/A
95,CR95,03/06/2007,tax-fraud schemes,P00173451,Cam0004660,Solved,CPA508913825,Campania,Salerno,CA1058
96,CR96,03/01/2011,drug trafficking,P00835900,Cos0002694,On-going,SCY770022234,Sicily,Vittoria,N/A
97,CR97,17/03/2001,loan sharking,P00394853,Cos0003611,Solved,SCY517119601,Sicily,Marsala,N/A
98,CR98,10/07/2010,drug trafficking,P00270258,Sac0001505,On-going,PGA575127346,Puglia,Andria,CA198
99,CR99,13/11/2014,drug trafficking,P00164474,Cos0003009,On-going,SCY237328469,Sicily,Ragusa,CA964
100,CR100,16/10/2004,infiltration of legitimate businesses,P00080504,Sac0000974,Solved,PGA250795934,Puglia,Andria,CA690
101,CR101,30/05/2019,murder,P00535099,Cos0003688,Solved,SCY619213701,Sicily,Ragusa,CA71
102,CR102,11/11/2015,gambling,P00982698,Sac0000587,On-going,PGA751421530,Puglia,Andria,CA888
103,CR103,22/05/2007,infiltration of legitimate businesses,P00604774,Ndr0000742,Solved,CLA356795835,Calabria,Corigliano-Rossano,CA1496
104,CR104,26/05/2019,extortion,P00002134,Ndr0002219,Solved,CLA892663061,Calabria,Reggio Calabria,N/A
105,CR105,17/06/2011,prostitution,P00729964,Sac0000572,On-going,PGA714878665,Puglia,Bari,N/A
106,CR106,21/11/2012,murder,P00017528,Cam0005200,On-going,CPA85422876,Campania,Naples,N/A
107,CR107,27/12/2017,gambling,P00845653,Ndr0004947,Solved,CLA511904164,Calabria,Montalto Uffugo,CA1774
108,CR108,15/01/2008,loan sharking,P00293453,Ndr0001795,On-going,CLA943741303,Calabria,Montalto Uffugo,N/A
109,CR109,04/01/2015,corruption of public officials,P00756079,Cam0004322,Solved,CPA1952808,Campania,Salerno,N/A
110,CR110,31/01/2008,murder,P00713656,Sac0001103,Solved,PGA364683771,Puglia,Taranto,N/A
111,CR111,13/09/2012,labor racketeering,P00994807,Cam0003099,Solved,CPA269522902,Campania,Salerno,N/A
112,CR112,13/02/2003,gambling,P00729057,Cam0002939,On-going,CPA545861812,Campania,Naples,N/A
113,CR113,19/09/2013,corruption of public officials,P00504486,Cos0003691,Solved,SCY265305171,Sicily,Marsala,N/A
114,CR114,02/02/2014,tax-fraud schemes,P00195242,Sac0000645,On-going,PGA745223643,Puglia,Lecce,N/A
115,CR115,04/02/2018,prostitution,P00892241,Ndr0000689,On-going,CLA983996745,Calabria,Montalto Uffugo,N/A
116,CR116,25/03/2014,drug trafficking,P00430024,Cos0000400,Solved,SCY718956816,Sicily,Syracuse,N/A
117,CR117,10/02/2007,gambling,P00191050,Cam0005100,On-going,CPA370961695,Campania,Benevento,N/A
118,CR118,21/07/2002,corruption of public officials,P00348982,Ndr0001956,Solved,CLA38045655,Calabria,Castrovillari,N/A
119,CR119,23/05/2021,labor racketeering,P00344848,Cos0002521,Solved,SCY60018109,Sicily,Gela,N/A
120,CR120,17/10/2003,tax-fraud schemes,P00900360,Ndr0002207,Solved,CLA892095045,Calabria,Lamezia Terme,N/A
121,CR121,23/03/2022,tax-fraud schemes,P00011602,Ndr0003930,Solved,CLA241090481,Calabria,Crotone,N/A
122,CR122,31/03/2005,infiltration of legitimate businesses,P00165877,Ndr0004441,Solved,CLA910953240,Calabria,Lamezia Terme,N/A
123,CR123,11/03/2000,extortion,P00848238,Cam0003218,Solved,CPA505328004,Campania,Benevento,N/A
124,CR124,11/08/2018,extortion,P00144171,Cos0001245,Solved,SCY301962853,Sicily,Gela,CA1620
125,CR125,07/01/2015,corruption of public officials,P00669171,Cos0001383,On-going,SCY345845639,Sicily,Palermo,N/A
126,CR126,15/05/2002,labor racketeering,P00333205,Cos0001060,On-going,SCY72645147,Sicily,Vittoria,N/A
127,CR127,24/07/2020,tax-fraud schemes,P00903206,Sac0001625,On-going,PGA832655405,Puglia,Lecce,CA677
128,CR128,23/09/2016,gambling,P00608844,Cam0000279,On-going,CPA438378575,Campania,Salerno,N/A
129,CR129,03/06/2004,drug trafficking,P00795625,Ndr0002248,Solved,CLA749305531,Calabria,Acri,N/A
130,CR130,22/09/2008,loan sharking,P00808859,Sac0000860,Solved,PGA707206064,Puglia,Taranto,N/A
131,CR131,05/04/2005,gambling,P00946306,Sac0000778,Solved,PGA548678117,Puglia,Foggia,CA1632
132,CR132,20/07/2000,tax-fraud schemes,P00203176,Ndr0003892,Solved,CLA591589357,Calabria,Crotone,N/A
133,CR133,20/09/2017,corruption of public officials,P00662059,Ndr0001058,Solved,CLA387915613,Calabria,Catanzaro,CA1712
134,CR134,05/01/2013,corruption of public officials,P00371813,Cos0003983,Solved,SCY355761278,Sicily,Gela,CA530
135,CR135,17/09/2007,infiltration of legitimate businesses,P00908690,Cam0001889,On-going,CPA116497373,Campania,Salerno,N/A
136,CR136,06/12/2021,tax-fraud schemes,P00028382,Sac0000674,On-going,PGA974243646,Puglia,Andria,N/A
137,CR137,05/02/2022,labor racketeering,P00769679,Ndr0000858,On-going,CLA715921211,Calabria,Castrovillari,N/A
138,CR138,23/03/2011,infiltration of legitimate businesses,P00762450,Ndr0001393,On-going,CLA8680492,Calabria,Castrovillari,N/A
139,CR139,09/06/2008,corruption of public officials,P00243774,Cos0002245,On-going,SCY350833218,Sicily,Catania,CA449
140,CR140,03/05/2000,extortion,P00762582,Ndr0001681,Solved,CLA588293348,Calabria,Acri,CA1609
141,CR141,27/08/2004,drug trafficking,P00827718,Cos0000952,On-going,SCY77002810,Sicily,Catania,N/A
142,CR142,28/02/2020,murder,P00958500,Ndr0002793,Solved,CLA27893339,Calabria,Rende,CA1856
143,CR143,09/06/2017,corruption of public officials,P00768517,Cos0004065,Solved,SCY870444697,Sicily,Marsala,N/A
144,CR144,19/07/2006,loan sharking,P00466257,Ndr0001250,Solved,CLA971900560,Calabria,Reggio Calabria,CA918
145,CR145,06/08/2013,extortion,P00798134,Cam0004439,Solved,CPA290324481,Campania,Benevento,N/A
146,CR146,28/10/2007,corruption of public officials,P00450630,Sac0001269,Solved,PGA550003688,Puglia,Foggia,N/A
147,CR147,18/08/2000,extortion,P00779370,Ndr0005097,Solved,CLA92499928,Calabria,Catanzaro,N/A
148,CR148,29/04/2004,tax-fraud schemes,P00507193,Ndr0001748,Solved,CLA87219931,Calabria,Crotone,N/A
149,CR149,08/06/2001,tax-fraud schemes,P00601289,Sac0001649,Solved,PGA885577339,Puglia,Taranto,N/A
150,CR150,03/01/2009,prostitution,P00979577,Ndr0002547,On-going,CLA940670259,Calabria,Castrovillari,N/A
151,CR151,13/09/2006,gambling,P00143506,Cos0004157,Solved,SCY269232099,Sicily,Marsala,N/A
152,CR152,22/04/2003,loan sharking,P00239127,Cam0004032,Solved,CPA11365385,Campania,Salerno,N/A
153,CR153,03/11/2021,loan sharking,P00931562,Cam0005076,Solved,CPA606383116,Campania,Benevento,CA291
154,CR154,06/06/2015,labor racketeering,P00507303,Ndr0002051,Solved,CLA839190087,Calabria,Reggio Calabria,N/A
155,CR155,28/12/2019,labor racketeering,P00319174,Cos0003662,Solved,SCY597001077,Sicily,Palermo,N/A
156,CR156,27/08/2012,labor racketeering,P00835672,Cos0002414,Solved,SCY578718142,Sicily,Gela,N/A
157,CR157,23/03/2018,prostitution,P00719870,Cam0005532,On-going,CPA530811338,Campania,Caserta,N/A
158,CR158,06/11/2007,murder,P00915366,Cam0005045,On-going,CPA331341800,Campania,Avellino,N/A
159,CR159,08/02/2011,infiltration of legitimate businesses,P00291588,Ndr0001711,Solved,CLA346135131,Calabria,Rende,N/A
160,CR160,19/11/2012,infiltration of legitimate businesses,P00465559,Ndr0001857,Solved,CLA967015084,Calabria,Cosenza,N/A
161,CR161,08/05/2000,gambling,P00318847,Cos0000206,Solved,SCY563929634,Sicily,Caltanissetta,CA1468
162,CR162,15/11/2020,drug trafficking,P00081053,Cos0003103,Solved,SCY708060857,Sicily,Ragusa,N/A
163,CR163,28/04/2007,gambling,P00933260,Sac0000492,On-going,PGA611296719,Puglia,Lecce,N/A
164,CR164,11/07/2005,infiltration of legitimate businesses,P00723129,Cos0003160,On-going,SCY316331927,Sicily,Ragusa,N/A
165,CR165,07/01/2017,corruption of public officials,P00511254,Cam0003383,Solved,CPA793793595,Campania,Avellino,N/A
166,CR166,24/12/2017,labor racketeering,P00534018,Cos0003805,Solved,SCY445880355,Sicily,Palermo,N/A
167,CR167,11/12/2006,corruption of public officials,P00215551,Cos0001764,On-going,SCY216785106,Sicily,Ragusa,N/A
168,CR168,15/05/2006,corruption of public officials,P00204351,Ndr0004087,Solved,CLA100920121,Calabria,Reggio Calabria,N/A
169,CR169,10/06/2007,prostitution,P00560447,Cam0005229,Solved,CPA828421281,Campania,Benevento,N/A
170,CR170,28/01/2007,tax-fraud schemes,P00939110,Sac0000964,On-going,PGA300075162,Puglia,Taranto,N/A
171,CR171,16/08/2002,infiltration of legitimate businesses,P00048109,Cos0002105,On-going,SCY339025767,Sicily,Gela,N/A
172,CR172,20/12/2000,gambling,P00633073,Cos0004360,Solved,SCY255034591,Sicily,Vittoria,N/A
173,CR173,31/10/2006,loan sharking,P00122876,Cos0003595,On-going,SCY244058521,Sicily,Syracuse,N/A
174,CR174,10/02/2015,extortion,P00205585,Cam0005449,On-going,CPA901879100,Campania,Salerno,N/A
175,CR175,04/12/2003,murder,P00590872,Sac0000207,On-going,PGA353438780,Puglia,Andria,CA616
176,CR176,19/05/2000,loan sharking,P00360790,Ndr0001176,Solved,CLA209228771,Calabria,Montalto Uffugo,CA1619
177,CR177,04/03/2004,tax-fraud schemes,P00888303,Sac0001250,Solved,PGA694722179,Puglia,Lecce,N/A
178,CR178,30/09/2021,extortion,P00656258,Cam0005312,On-going,CPA459315531,Campania,Avellino,N/A
179,CR179,04/10/2007,prostitution,P00233127,Ndr0004544,On-going,CLA15820163,Calabria,Corigliano-Rossano,N/A
180,CR180,24/08/2010,prostitution,P00650344,Cos0003285,On-going,SCY143910543,Sicily,Syracuse,CA472
181,CR181,12/05/2008,drug trafficking,P00859422,Cos0002007,On-going,SCY740289691,Sicily,Vittoria,N/A
182,CR182,23/03/2021,gambling,P00102736,Cam0005462,Solved,CPA662682794,Campania,Naples,N/A
183,CR183,21/12/2021,infiltration of legitimate businesses,P00329015,Sac0000513,On-going,PGA364494546,Puglia,Bari,N/A
184,CR184,22/07/2008,prostitution,P00033931,Sac0001288,On-going,PGA631478756,Puglia,Lecce,N/A
185,CR185,08/02/2001,infiltration of legitimate businesses,P00248649,Ndr0002901,Solved,CLA870502616,Calabria,Castrovillari,N/A
186,CR186,01/06/2015,infiltration of legitimate businesses,P00565966,Cos0004045,Solved,SCY178510466,Sicily,Trapani,N/A
187,CR187,27/09/2011,gambling,P00773771,Sac0001542,On-going,PGA575168580,Puglia,Lecce,N/A
188,CR188,28/10/2015,corruption of public officials,P00010457,Ndr0002895,Solved,CLA318341666,Calabria,Catanzaro,N/A
189,CR189,09/07/2001,extortion,P00171968,Ndr0003441,Solved,CLA187075921,Calabria,Crotone,CA1865
190,CR190,11/09/2020,loan sharking,P00400539,Cam0004038,On-going,CPA756302000,Campania,Avellino,N/A
191,CR191,28/06/2010,drug trafficking,P00397802,Ndr0003144,Solved,CLA593816629,Calabria,Crotone,CA1135
192,CR192,05/03/2000,gambling,P00774667,Sac0000650,On-going,PGA328880614,Puglia,Andria,N/A
193,CR193,26/07/2008,gambling,P00886808,Cam0000862,On-going,CPA891292238,Campania,Avellino,N/A
194,CR194,04/07/2008,extortion,P00440970,Cos0002356,Solved,SCY650988259,Sicily,Gela,N/A
195,CR195,25/05/2001,extortion,P00763997,Cam0002460,Solved,CPA237845611,Campania,Naples,N/A
196,CR196,23/07/2005,infiltration of legitimate businesses,P00250215,Ndr0002888,On-going,CLA216201309,Calabria,Cosenza,N/A
197,CR197,11/01/2000,murder,P00268603,Cam0004956,On-going,CPA837488953,Campania,Avellino,CA493
198,CR198,04/05/2002,labor racketeering,P00393915,Cos0003173,On-going,SCY666743685,Sicily,Vittoria,N/A
199,CR199,21/07/2015,labor racketeering,P00519669,Cam0003438,Solved,CPA69672209,Campania,Benevento,N/A
200,CR200,09/11/2013,drug trafficking,P00534756,Cos0001035,Solved,SCY515829605,Sicily,Syracuse,N/A
201,CR201,14/04/2009,labor racketeering,P00874555,Cos0004154,Solved,SCY370825492,Sicily,Trapani,N/A
202,CR202,06/04/2005,prostitution,P00995532,Cam0001815,Solved,CPA644955758,Campania,Avellino,N/A
203,CR203,28/06/2008,labor racketeering,P00265425,Ndr0003479,Solved,CLA954152037,Calabria,Corigliano-Rossano,N/A
204,CR204,05/12/2015,gambling,P00702041,Cam0004174,On-going,CPA124485372,Campania,Avellino,N/A
205,CR205,01/09/2012,prostitution,P00242546,Sac0000149,Solved,PGA671139871,Puglia,Taranto,N/A
206,CR206,22/08/2000,corruption of public officials,P00017608,Cam0004167,Solved,CPA308883890,Campania,Avellino,N/A
207,CR207,21/03/2021,drug trafficking,P00826433,Sac0000539,Solved,PGA290515796,Puglia,Andria,CA719
208,CR208,22/05/2015,tax-fraud schemes,P00414239,Cam0003457,Solved,CPA963677393,Campania,Caserta,N/A
209,CR209,10/09/2012,labor racketeering,P00174096,Cam0005500,On-going,CPA462732518,Campania,Benevento,N/A
210,CR210,03/07/2001,labor racketeering,P00453288,Cos0000760,On-going,SCY93324769,Sicily,Ragusa,N/A
211,CR211,15/07/2014,drug trafficking,P00946346,Sac0000846,Solved,PGA499023921,Puglia,Taranto,N/A
212,CR212,15/08/2014,murder,P00377491,Cam0003223,On-going,CPA635492889,Campania,Salerno,CA762
213,CR213,17/05/2006,gambling,P00312716,Sac0001593,On-going,PGA487820218,Puglia,Bari,N/A
214,CR214,09/07/2007,extortion,P00523945,Sac0001389,On-going,PGA777029556,Puglia,Andria,N/A
215,CR215,18/09/2016,gambling,P00897069,Cos0003967,On-going,SCY600162046,Sicily,Catania,N/A
216,CR216,13/09/2018,tax-fraud schemes,P00129151,Cam0003585,On-going,CPA731972202,Campania,Salerno,N/A
217,CR217,15/09/2013,extortion,P00877712,Ndr0003961,On-going,CLA237084760,Calabria,Rende,N/A
218,CR218,09/11/2013,labor racketeering,P00660853,Cos0000661,Solved,SCY440080376,Sicily,Syracuse,CA1845
219,CR219,14/05/2005,corruption of public officials,P00859395,Cos0002802,On-going,SCY217103484,Sicily,Messina,N/A
220,CR220,20/10/2009,murder,P00537063,Sac0001174,On-going,PGA0732440,Puglia,Andria,N/A
221,CR221,18/03/2009,corruption of public officials,P00282114,Cam0004652,On-going,CPA74382641,Campania,Benevento,N/A
222,CR222,29/05/2010,infiltration of legitimate businesses,P00386369,Ndr0004648,Solved,CLA199672613,Calabria,Acri,N/A
223,CR223,19/12/2012,extortion,P00133853,Cam0003440,Solved,CPA253629148,Campania,Salerno,N/A
224,CR224,28/06/2008,corruption of public officials,P00303536,Cos0002852,Solved,SCY146018489,Sicily,Caltanissetta,N/A
225,CR225,24/03/2013,gambling,P00433730,Ndr0003375,Solved,CLA848144882,Calabria,Rende,N/A
226,CR226,02/10/2021,gambling,P00383942,Cos0001675,On-going,SCY680174672,Sicily,Marsala,N/A
227,CR227,10/05/2008,tax-fraud schemes,P00260834,Cos0002333,On-going,SCY90090599,Sicily,Caltanissetta,N/A
228,CR228,21/11/2009,corruption of public officials,P00164604,Cos0003496,On-going,SCY104990312,Sicily,Ragusa,N/A
229,CR229,12/08/2008,infiltration of legitimate businesses,P00042598,Cos0001858,On-going,SCY374534745,Sicily,Caltanissetta,N/A
230,CR230,09/08/2005,tax-fraud schemes,P00146552,Ndr0004597,On-going,CLA772049520,Calabria,Rende,N/A
231,CR231,03/10/2008,murder,P00485974,Ndr0003860,Solved,CLA880203279,Calabria,Lamezia Terme,N/A
232,CR232,07/11/2021,extortion,P00001222,Ndr0000396,On-going,CLA973722876,Calabria,Cosenza,N/A
233,CR233,03/05/2004,extortion,P00876594,Ndr0001991,On-going,CLA734975973,Calabria,Reggio Calabria,N/A
234,CR234,02/04/2013,drug trafficking,P00515921,Cos0003442,On-going,SCY738016473,Sicily,Marsala,N/A
235,CR235,11/05/2001,labor racketeering,P00191527,Cam0000712,Solved,CPA68891830,Campania,Caserta,N/A
236,CR236,22/08/2017,gambling,P00887627,Cam0004471,Solved,CPA794627606,Campania,Benevento,N/A
237,CR237,01/12/2010,gambling,P00861824,Ndr0003031,Solved,CLA483341952,Calabria,Montalto Uffugo,CA1717
238,CR238,29/06/2000,corruption of public officials,P00213364,Cos0004501,On-going,SCY233203376,Sicily,Marsala,N/A
239,CR239,06/02/2017,tax-fraud schemes,P00085193,Cos0001564,Solved,SCY609429736,Sicily,Trapani,CA1812
240,CR240,17/10/2010,murder,P00269562,Sac0000641,Solved,PGA618388798,Puglia,Lecce,N/A
