,Crime ID,Date,Crime Type,Suspect ID,Status,Lead Officer ID,Region,City,Case ID
49,49,2012-03-12,murder,Sac0000267,On-going,PGA640963111,Puglia,Foggia,N/A
50,50,2020-06-02,labor racketeering,Cam0003249,On-going,CPA995357023,Campania,Caserta,N/A
51,51,2014-06-29,murder,Cos0001938,On-going,SCY520194974,Sicily,Vittoria,N/A
52,52,2005-03-30,infiltration of legitimate businesses,Cos0003503,On-going,SCY360718706,Sicily,Palermo,N/A
53,53,2021-05-25,murder,Cos0002042,On-going,SCY652001663,Sicily,Marsala,N/A
54,54,2005-04-02,labor racketeering,Ndr0003889,Solved,CLA198732074,Calabria,Cosenza,N/A
55,55,2005-09-24,drug trafficking,Cos0003214,Solved,SCY230351244,Sicily,Trapani,N/A
56,56,2015-12-26,prostitution,Sac0000125,On-going,PGA515139620,Puglia,Taranto,N/A
57,57,2011-05-05,infiltration of legitimate businesses,Cam0001704,On-going,CPA714809416,Campania,Caserta,N/A
58,58,2008-11-06,prostitution,Ndr0000237,Solved,CLA27975288,Calabria,Acri,N/A
59,59,2020-11-10,murder,Cam0000451,Solved,CPA316568609,Campania,Naples,N/A
60,60,2009-11-12,infiltration of legitimate businesses,Ndr0003115,On-going,CLA707923395,Calabria,Reggio Calabria,N/A
61,61,2016-08-13,extortion,Cos0001005,Solved,SCY330091013,Sicily,Trapani,N/A
62,62,2013-09-17,prostitution,Ndr0001733,On-going,CLA746743115,Calabria,Vibo Valentia,N/A
63,63,2000-06-27,prostitution,Sac0001265,On-going,PGA288404598,Puglia,Andria,N/A
64,64,2020-08-24,labor racketeering,Sac0001696,Solved,PGA118645781,Puglia,Taranto,N/A
65,65,2016-11-04,murder,Ndr0001627,Solved,CLA512675576,Calabria,Castrovillari,N/A
66,66,2007-11-20,prostitution,Cos0004079,Solved,SCY78111175,Sicily,Syracuse,N/A
67,67,2005-02-12,loan sharking,Cos0003447,On-going,SCY267866365,Sicily,Gela,N/A
68,68,2021-10-07,murder,Ndr0004481,Solved,CLA684018833,Calabria,Montalto Uffugo,N/A
69,69,2000-11-20,gambling,Ndr0002106,On-going,CLA646022096,Calabria,Lamezia Terme,N/A
70,70,2018-06-22,gambling,Ndr0000909,Solved,CLA651035512,Calabria,Corigliano-Rossano,N/A
71,71,2000-11-23,prostitution,Cam0003629,Solved,CPA325742852,Campania,Benevento,N/A
72,72,2011-10-17,prostitution,Cam0003713,Solved,CPA726928071,Campania,Salerno,N/A
73,73,2013-11-22,corruption of public officials,Cos0003261,Solved,SCY661918476,Sicily,Gela,N/A
74,74,2006-10-14,gambling,Sac0000633,On-going,PGA409799605,Puglia,Foggia,N/A
75,75,2004-07-05,murder,Cam0005349,On-going,CPA814418068,Campania,Salerno,N/A
76,76,2013-12-17,infiltration of legitimate businesses,Cam0004477,On-going,CPA247424860,Campania,Avellino,N/A
77,77,2022-01-22,murder,Sac0001383,Solved,PGA75402192,Puglia,Foggia,N/A
78,78,2022-04-17,labor racketeering,Ndr0002725,Solved,CLA654884277,Calabria,Reggio Calabria,25
79,79,2005-07-27,murder,Sac0001395,On-going,PGA96247287,Puglia,Bari,N/A
80,80,2002-08-02,corruption of public officials,Cam0002691,On-going,CPA157576825,Campania,Salerno,N/A
81,81,2004-02-02,infiltration of legitimate businesses,Ndr0001542,Solved,CLA207240929,Calabria,Rende,N/A
82,82,2012-04-25,murder,Sac0001621,On-going,PGA928932066,Puglia,Andria,N/A
83,83,2013-10-03,tax-fraud schemes,Cos0003076,Solved,SCY688033789,Sicily,Messina,N/A
84,84,2019-11-29,murder,Ndr0002484,On-going,CLA380799796,Calabria,Reggio Calabria,N/A
85,85,2005-12-29,prostitution,Ndr0001960,On-going,CLA58584722,Calabria,Castrovillari,N/A
86,86,2012-02-06,loan sharking,Sac0001669,Solved,PGA302352698,Puglia,Lecce,N/A
87,87,2007-01-14,corruption of public officials,Cam0003496,On-going,CPA451713704,Campania,Avellino,N/A
88,88,2016-04-18,loan sharking,Sac0000957,Solved,PGA854479413,Puglia,Foggia,N/A
89,89,2016-03-01,murder,Ndr0004109,Solved,CLA604515107,Calabria,Lamezia Terme,N/A
90,90,2007-07-10,drug trafficking,Cam0003594,On-going,CPA213177162,Campania,Salerno,N/A
91,91,2012-06-26,infiltration of legitimate businesses,Ndr0001515,Solved,CLA814907869,Calabria,Crotone,9
92,92,2016-07-14,loan sharking,Cam0005592,On-going,CPA166242396,Campania,Caserta,N/A
93,93,2003-12-06,tax-fraud schemes,Sac0000567,On-going,PGA615204622,Puglia,Foggia,N/A
94,94,2018-11-09,tax-fraud schemes,Ndr0005044,On-going,CLA628525826,Calabria,Castrovillari,N/A
95,95,2007-08-12,prostitution,Sac0001224,On-going,PGA575865819,Puglia,Lecce,N/A
96,96,2003-01-31,loan sharking,Cos0001360,On-going,SCY865031722,Sicily,Ragusa,N/A
97,97,2005-12-21,drug trafficking,Sac0001501,Solved,PGA888730055,Puglia,Lecce,N/A
98,98,2008-02-16,tax-fraud schemes,Cam0003997,Solved,CPA298799940,Campania,Naples,N/A
99,99,2004-06-30,extortion,Cam0004412,On-going,CPA338766737,Campania,Avellino,N/A
100,100,2009-04-05,gambling,Cam0003222,On-going,CPA723610699,Campania,Naples,17
101,101,2016-03-20,labor racketeering,Cam0005328,Solved,CPA603020296,Campania,Caserta,N/A
102,102,2016-03-14,tax-fraud schemes,Cam0004838,On-going,CPA58131269,Campania,Avellino,N/A
103,103,2002-07-18,gambling,Sac0001304,On-going,PGA334682713,Puglia,Bari,N/A
104,104,2006-07-12,drug trafficking,Ndr0003068,Solved,CLA359034979,Calabria,Vibo Valentia,N/A
105,105,2003-06-04,tax-fraud schemes,Sac0001405,Solved,PGA617351824,Puglia,Lecce,N/A
106,106,2009-02-07,prostitution,Cos0002748,Solved,SCY893834083,Sicily,Ragusa,N/A
107,107,2013-10-06,prostitution,Sac0000547,Solved,PGA271902302,Puglia,Lecce,N/A
108,108,2018-08-07,extortion,Sac0001039,On-going,PGA568592071,Puglia,Taranto,N/A
109,109,2010-11-12,labor racketeering,Cos0004099,On-going,SCY497581480,Sicily,Messina,N/A
110,110,2002-12-27,tax-fraud schemes,Sac0001663,On-going,PGA36862406,Puglia,Foggia,N/A
111,111,2001-02-11,infiltration of legitimate businesses,Cam0004102,Solved,CPA225495287,Campania,Salerno,N/A
112,112,2003-10-13,murder,Cos0003496,On-going,SCY301891104,Sicily,Ragusa,N/A
113,113,2010-05-18,tax-fraud schemes,Sac0000987,Solved,PGA896215397,Puglia,Bari,N/A
114,114,2009-08-17,labor racketeering,Cam0003828,Solved,CPA763464183,Campania,Naples,N/A
115,115,2020-12-04,prostitution,Sac0000876,Solved,PGA656092941,Puglia,Foggia,N/A
116,116,2004-12-09,murder,Cam0001695,Solved,CPA428002112,Campania,Benevento,N/A
117,117,2005-06-21,loan sharking,Ndr0002017,Solved,CLA99668455,Calabria,Castrovillari,N/A
118,118,2001-12-28,corruption of public officials,Cam0000513,On-going,CPA471022444,Campania,Naples,N/A
119,119,2007-02-14,extortion,Cos0002598,On-going,SCY923718470,Sicily,Marsala,N/A
120,120,2013-04-19,drug trafficking,Sac0001166,On-going,PGA836417347,Puglia,Taranto,N/A
121,121,2017-03-22,infiltration of legitimate businesses,Sac0000618,Solved,PGA91815878,Puglia,Taranto,N/A
122,122,2016-04-24,gambling,Sac0001134,Solved,PGA985262438,Puglia,Andria,N/A
123,123,2019-11-30,labor racketeering,Sac0000507,On-going,PGA871008406,Puglia,Lecce,N/A
124,124,2013-04-11,extortion,Cam0002190,Solved,CPA599647411,Campania,Salerno,N/A
125,125,2005-07-10,tax-fraud schemes,Cos0003884,Solved,SCY63608416,Sicily,Catania,1
126,126,2009-04-13,extortion,Cam0001357,Solved,CPA712694054,Campania,Benevento,N/A
127,127,2005-07-11,tax-fraud schemes,Sac0000992,Solved,PGA60244095,Puglia,Lecce,N/A
128,128,2005-07-15,extortion,Cam0005200,Solved,CPA822169969,Campania,Naples,N/A
129,129,2012-05-06,infiltration of legitimate businesses,Cos0003659,On-going,SCY638848467,Sicily,Ragusa,N/A
130,130,2009-01-31,infiltration of legitimate businesses,Cos0003938,Solved,SCY36349474,Sicily,Caltanissetta,N/A
131,131,2018-12-14,corruption of public officials,Sac0000947,On-going,PGA677141813,Puglia,Bari,N/A
132,132,2018-11-02,murder,Sac0001518,Solved,PGA734225827,Puglia,Andria,N/A
133,133,2011-10-29,labor racketeering,Sac0001567,Solved,PGA159973309,Puglia,Lecce,N/A
134,134,2020-01-11,corruption of public officials,Cam0001020,Solved,CPA698622669,Campania,Caserta,N/A
135,135,2020-08-25,murder,Cam0004050,On-going,CPA632792068,Campania,Benevento,N/A
136,136,2009-02-05,extortion,Cos0002243,Solved,SCY717378600,Sicily,Caltanissetta,N/A
137,137,2001-01-23,labor racketeering,Cam0003994,Solved,CPA875241078,Campania,Salerno,N/A
138,138,2008-10-10,corruption of public officials,Cam0000483,On-going,CPA568375808,Campania,Caserta,N/A
139,139,2017-01-23,extortion,Sac0000738,Solved,PGA24791902,Puglia,Taranto,N/A
140,140,2012-10-28,drug trafficking,Cos0002880,Solved,SCY736020337,Sicily,Caltanissetta,N/A
141,141,2001-02-24,tax-fraud schemes,Ndr0000206,Solved,CLA114810195,Calabria,Corigliano-Rossano,N/A
142,142,2013-06-19,prostitution,Cos0001186,On-going,SCY318228726,Sicily,Catania,N/A
143,143,2016-06-21,drug trafficking,Cos0001038,Solved,SCY219265807,Sicily,Messina,N/A
144,144,2018-12-22,murder,Ndr0002050,On-going,CLA944361960,Calabria,Lamezia Terme,N/A
145,145,2003-12-24,murder,Cam0002468,On-going,CPA964345460,Campania,Salerno,N/A
146,146,2002-09-06,tax-fraud schemes,Ndr0002959,Solved,CLA587799255,Calabria,Crotone,N/A
147,147,2003-09-10,prostitution,Sac0001028,On-going,PGA195107033,Puglia,Bari,N/A
148,148,2008-04-02,corruption of public officials,Sac0000514,Solved,PGA554703053,Puglia,Taranto,N/A
149,149,2015-06-05,tax-fraud schemes,Cam0003901,Solved,CPA982177504,Campania,Avellino,N/A
150,150,2015-06-29,tax-fraud schemes,Ndr0000308,On-going,CLA712449040,Calabria,Lamezia Terme,N/A
151,151,2002-08-17,prostitution,Cam0005623,Solved,CPA576582595,Campania,Caserta,N/A
152,152,2000-05-23,gambling,Cos0004473,Solved,SCY171478247,Sicily,Syracuse,N/A
153,153,2008-01-18,extortion,Cam0004285,Solved,CPA401754194,Campania,Avellino,N/A
154,154,2016-01-29,murder,Cam0004973,On-going,CPA904958094,Campania,Avellino,N/A
155,155,2016-09-07,gambling,Cos0003366,Solved,SCY836814168,Sicily,Messina,N/A
156,156,2008-03-09,labor racketeering,Cam0001620,Solved,CPA47711430,Campania,Avellino,N/A
157,157,2008-04-26,extortion,Cam0003895,On-going,CPA289847003,Campania,Caserta,N/A
158,158,2019-10-30,extortion,Sac0001303,Solved,PGA712316488,Puglia,Andria,N/A
159,159,2004-01-27,gambling,Sac0000528,On-going,PGA840696405,Puglia,Lecce,N/A
160,160,2003-08-21,labor racketeering,Cos0002742,Solved,SCY993543076,Sicily,Marsala,N/A
161,161,2019-10-25,labor racketeering,Sac0001696,Solved,PGA555856436,Puglia,Taranto,N/A
162,162,2021-06-28,tax-fraud schemes,Sac0000601,On-going,PGA681049526,Puglia,Foggia,N/A
163,163,2013-01-31,prostitution,Sac0000853,On-going,PGA425554813,Puglia,Foggia,N/A
164,164,2013-03-13,loan sharking,Ndr0004923,On-going,CLA834555287,Calabria,Montalto Uffugo,N/A
165,165,2002-06-24,infiltration of legitimate businesses,Cos0000209,Solved,SCY499720985,Sicily,Catania,N/A
166,166,2020-09-16,murder,Cos0001568,On-going,SCY128312324,Sicily,Gela,N/A
167,167,2017-10-15,labor racketeering,Cos0000536,Solved,SCY3732743,Sicily,Marsala,N/A
168,168,2005-06-25,prostitution,Cos0003297,Solved,SCY219141018,Sicily,Trapani,N/A
169,169,2002-11-30,drug trafficking,Cos0001105,On-going,SCY137654015,Sicily,Palermo,N/A
170,170,2001-05-17,gambling,Sac0001299,On-going,PGA77112852,Puglia,Lecce,N/A
171,171,2018-04-23,infiltration of legitimate businesses,Sac0001663,On-going,PGA965091371,Puglia,Foggia,N/A
172,172,2017-11-18,murder,Cam0002226,On-going,CPA994816358,Campania,Salerno,47
173,173,2011-12-24,drug trafficking,Ndr0002869,Solved,CLA286508687,Calabria,Acri,N/A
174,174,2010-07-28,infiltration of legitimate businesses,Cos0002187,Solved,SCY177864828,Sicily,Vittoria,N/A
175,175,2006-03-25,drug trafficking,Ndr0004118,On-going,CLA258238423,Calabria,Rende,N/A
176,176,2007-06-08,prostitution,Cos0004144,Solved,SCY209543764,Sicily,Messina,N/A
177,177,2009-06-02,infiltration of legitimate businesses,Cos0000954,On-going,SCY326290773,Sicily,Ragusa,N/A
178,178,2012-12-15,corruption of public officials,Cam0004039,On-going,CPA924282548,Campania,Salerno,N/A
179,179,2011-06-19,tax-fraud schemes,Cam0005040,Solved,CPA620983000,Campania,Benevento,N/A
180,180,2014-02-03,tax-fraud schemes,Sac0001116,On-going,PGA892943713,Puglia,Taranto,N/A
181,181,2014-11-10,tax-fraud schemes,Cam0003711,On-going,CPA659214064,Campania,Benevento,N/A
182,182,2006-07-29,labor racketeering,Cam0003718,Solved,CPA682374829,Campania,Benevento,N/A
183,183,2012-05-29,prostitution,Cam0005437,Solved,CPA405515142,Campania,Benevento,N/A
184,184,2022-04-21,labor racketeering,Sac0001740,Solved,PGA494154179,Puglia,Bari,N/A
185,185,2013-03-16,loan sharking,Cos0000594,On-going,SCY351402497,Sicily,Palermo,N/A
186,186,2014-07-25,drug trafficking,Cos0001566,Solved,SCY909227530,Sicily,Syracuse,N/A
187,187,2007-02-23,extortion,Ndr0001753,On-going,CLA41168267,Calabria,Crotone,N/A
188,188,2007-02-05,drug trafficking,Ndr0002216,Solved,CLA477744656,Calabria,Corigliano-Rossano,N/A
189,189,2018-10-22,labor racketeering,Cam0004804,Solved,CPA726548744,Campania,Caserta,N/A
190,190,2012-05-14,drug trafficking,Ndr0001226,On-going,CLA361385609,Calabria,Cosenza,N/A
191,191,2013-09-17,corruption of public officials,Cam0004388,Solved,CPA417753108,Campania,Avellino,N/A
192,192,2015-12-19,extortion,Ndr0000367,Solved,CLA137482481,Calabria,Cosenza,N/A
193,193,2016-04-02,gambling,Cam0003736,On-going,CPA155559834,Campania,Caserta,N/A
194,194,2002-02-02,tax-fraud schemes,Ndr0001586,On-going,CLA303523953,Calabria,Rende,N/A
195,195,2015-09-30,labor racketeering,Cam0004382,On-going,CPA981736273,Campania,Naples,N/A
196,196,2000-10-07,loan sharking,Ndr0001271,On-going,CLA885190907,Calabria,Crotone,N/A
197,197,2013-09-29,prostitution,Ndr0003996,Solved,CLA467464466,Calabria,Reggio Calabria,N/A
198,198,2021-08-22,murder,Cam0005614,On-going,CPA546876022,Campania,Avellino,45
199,199,2012-11-13,prostitution,Sac0001631,On-going,PGA724114264,Puglia,Bari,N/A
200,200,2004-01-26,labor racketeering,Cam0005266,On-going,CPA601156108,Campania,Benevento,N/A
201,201,2008-09-16,corruption of public officials,Cam0004128,On-going,CPA502113178,Campania,Avellino,N/A
202,202,2001-01-10,corruption of public officials,Sac0000759,Solved,PGA765003076,Puglia,Bari,N/A
203,203,2018-04-08,drug trafficking,Sac0001104,Solved,PGA888884074,Puglia,Andria,N/A
204,204,2000-08-08,infiltration of legitimate businesses,Sac0000108,Solved,PGA756888193,Puglia,Lecce,N/A
205,205,2004-02-17,loan sharking,Ndr0001071,On-going,CLA539282868,Calabria,Cosenza,N/A
206,206,2021-10-03,prostitution,Cam0000372,Solved,CPA373321949,Campania,Naples,N/A
207,207,2002-01-22,labor racketeering,Cam0003044,Solved,CPA527816266,Campania,Naples,N/A
208,208,2003-08-26,labor racketeering,Sac0000380,Solved,PGA88570608,Puglia,Andria,N/A
209,209,2016-05-16,infiltration of legitimate businesses,Cam0005608,Solved,CPA653116455,Campania,Caserta,N/A
210,210,2001-03-12,drug trafficking,Sac0000745,Solved,PGA996074169,Puglia,Taranto,N/A
211,211,2006-01-09,labor racketeering,Sac0000850,Solved,PGA347687658,Puglia,Foggia,N/A
212,212,2020-04-15,corruption of public officials,Cam0004889,Solved,CPA943979817,Campania,Caserta,N/A
213,213,2009-02-17,extortion,Cam0005330,Solved,CPA390648500,Campania,Salerno,N/A
214,214,2010-05-26,labor racketeering,Cos0000739,Solved,SCY278741021,Sicily,Palermo,N/A
215,215,2015-11-10,labor racketeering,Cam0001707,Solved,CPA67831583,Campania,Salerno,N/A
216,216,2015-08-30,corruption of public officials,Ndr0002950,On-going,CLA54061779,Calabria,Montalto Uffugo,N/A
217,217,2006-07-21,gambling,Ndr0004424,On-going,CLA445759479,Calabria,Reggio Calabria,40
218,218,2013-03-19,corruption of public officials,Cam0005333,Solved,CPA312065882,Campania,Benevento,N/A
219,219,2020-12-31,infiltration of legitimate businesses,Sac0001623,On-going,PGA223751264,Puglia,Lecce,N/A
220,220,2003-05-02,infiltration of legitimate businesses,Sac0001584,Solved,PGA851201842,Puglia,Foggia,N/A
221,221,2008-11-21,extortion,Cos0003841,On-going,SCY437675494,Sicily,Gela,21
222,222,2020-08-17,gambling,Sac0000582,On-going,PGA619563792,Puglia,Bari,N/A
223,223,2016-10-08,prostitution,Sac0000641,Solved,PGA147428698,Puglia,Lecce,N/A
224,224,2000-06-23,tax-fraud schemes,Cos0002475,Solved,SCY303647404,Sicily,Marsala,N/A
225,225,2006-02-13,murder,Cam0004505,On-going,CPA512874495,Campania,Naples,16
226,226,2015-09-15,loan sharking,Cos0004525,Solved,SCY20131913,Sicily,Marsala,N/A
227,227,2002-11-09,loan sharking,Sac0001153,On-going,PGA564725582,Puglia,Bari,N/A
228,228,2018-04-22,tax-fraud schemes,Cam0000391,On-going,CPA132506565,Campania,Avellino,N/A
229,229,2003-05-19,drug trafficking,Cam0002992,Solved,CPA664419105,Campania,Naples,N/A
230,230,2019-06-27,loan sharking,Ndr0004095,Solved,CLA848207536,Calabria,Castrovillari,N/A
231,231,2000-01-28,extortion,Cam0003932,On-going,CPA90931079,Campania,Salerno,N/A
232,232,2019-07-13,gambling,Cos0003172,Solved,SCY726976104,Sicily,Caltanissetta,N/A
233,233,2013-12-06,tax-fraud schemes,Cos0004612,On-going,SCY435860363,Sicily,Marsala,N/A
234,234,2009-06-05,infiltration of legitimate businesses,Cam0000424,Solved,CPA218808319,Campania,Naples,N/A
235,235,2001-09-09,labor racketeering,Cos0004429,On-going,SCY93323344,Sicily,Ragusa,N/A
236,236,2008-10-11,murder,Sac0001479,Solved,PGA78041856,Puglia,Bari,N/A
237,237,2013-12-13,extortion,Cam0004703,On-going,CPA896576096,Campania,Benevento,N/A
238,238,2000-06-23,infiltration of legitimate businesses,Sac0001107,Solved,PGA233469359,Puglia,Andria,N/A
239,239,2003-11-08,corruption of public officials,Ndr0003392,On-going,CLA183978694,Calabria,Corigliano-Rossano,N/A
240,240,2000-07-26,prostitution,Sac0001730,On-going,PGA924401158,Puglia,Andria,N/A
241,241,2010-05-02,gambling,Ndr0003240,On-going,CLA855229438,Calabria,Vibo Valentia,N/A
242,242,2020-06-02,labor racketeering,Sac0000926,Solved,PGA869552368,Puglia,Bari,N/A
243,243,2001-03-15,prostitution,Ndr0001744,Solved,CLA351055413,Calabria,Vibo Valentia,N/A
244,244,2012-11-18,tax-fraud schemes,Cos0002618,Solved,SCY344118207,Sicily,Gela,N/A
245,245,2017-03-10,labor racketeering,Cam0004265,Solved,CPA583846741,Campania,Avellino,N/A
246,246,2017-01-08,gambling,Cos0003132,On-going,SCY320903557,Sicily,Syracuse,N/A
247,247,2017-08-16,extortion,Cos0004261,Solved,SCY249925535,Sicily,Caltanissetta,N/A
248,248,2015-10-30,prostitution,Cos0001298,Solved,SCY586850157,Sicily,Syracuse,N/A
249,249,2005-06-29,tax-fraud schemes,Cos0000790,On-going,SCY7971276,Sicily,Syracuse,N/A
250,250,2022-01-21,infiltration of legitimate businesses,Cos0000825,On-going,SCY365272774,Sicily,Caltanissetta,N/A
251,251,2013-03-16,corruption of public officials,Cos0003020,On-going,SCY175264815,Sicily,Caltanissetta,N/A
252,252,2010-10-18,loan sharking,Ndr0000639,Solved,CLA312308755,Calabria,Vibo Valentia,N/A
253,253,2008-11-15,loan sharking,Sac0001085,On-going,PGA775785129,Puglia,Andria,N/A
254,254,2016-02-06,gambling,Cam0001431,Solved,CPA775685338,Campania,Naples,N/A
255,255,2010-09-08,corruption of public officials,Sac0000278,On-going,PGA560436193,Puglia,Lecce,N/A
256,256,2000-06-08,corruption of public officials,Cos0002225,Solved,SCY704339652,Sicily,Marsala,N/A
257,257,2008-02-13,tax-fraud schemes,Sac0001588,Solved,PGA331602642,Puglia,Foggia,N/A
258,258,2016-08-07,corruption of public officials,Sac0000422,On-going,PGA943071493,Puglia,Taranto,N/A
259,259,2005-12-21,corruption of public officials,Ndr0004255,On-going,CLA239263248,Calabria,Crotone,N/A
260,260,2010-10-15,prostitution,Sac0001000,On-going,PGA467443737,Puglia,Andria,N/A
261,261,2008-11-06,prostitution,Cos0004006,On-going,SCY106372669,Sicily,Catania,N/A
262,262,2020-10-30,extortion,Cam0004413,On-going,CPA80261271,Campania,Benevento,N/A
263,263,2016-09-30,prostitution,Cos0001473,Solved,SCY71662515,Sicily,Catania,N/A
264,264,2014-05-17,gambling,Cam0004010,On-going,CPA593858625,Campania,Caserta,N/A
265,265,2014-05-24,murder,Cos0000478,On-going,SCY453495758,Sicily,Messina,N/A
266,266,2008-06-25,loan sharking,Cam0004637,On-going,CPA823020481,Campania,Avellino,N/A
267,267,2018-03-31,murder,Ndr0002346,Solved,CLA435668061,Calabria,Lamezia Terme,N/A
268,268,2017-07-14,loan sharking,Sac0001015,Solved,PGA191525577,Puglia,Bari,N/A
269,269,2010-05-21,drug trafficking,Ndr0003368,On-going,CLA651865676,Calabria,Montalto Uffugo,N/A
270,270,2007-11-12,labor racketeering,Cam0002211,Solved,CPA866633007,Campania,Benevento,N/A
271,271,2006-08-19,drug trafficking,Sac0000163,Solved,PGA231954420,Puglia,Lecce,N/A
272,272,2011-08-10,infiltration of legitimate businesses,Cam0004735,On-going,CPA282573073,Campania,Salerno,N/A
273,273,2017-10-25,corruption of public officials,Ndr0002877,Solved,CLA886772839,Calabria,Corigliano-Rossano,38
274,274,2019-10-12,drug trafficking,Cos0002854,On-going,SCY940275155,Sicily,Caltanissetta,N/A
275,275,2020-02-19,prostitution,Ndr0004546,On-going,CLA722980056,Calabria,Catanzaro,N/A
